pmm_datetime,enodeb_name,ltecell_name,rrcconnlevsum,rrcconnlevsamp,day_part
2022-09-13 09:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L08,3750.0,720.0,2022-09-13
2022-09-13 09:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L21,1012.0,720.0,2022-09-13
2022-09-13 09:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L21,8868.0,720.0,2022-09-13
2022-09-13 09:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L21,29729.0,720.0,2022-09-13
2022-09-13 09:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L18,36682.0,720.0,2022-09-13
2022-09-13 09:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L08,21612.0,720.0,2022-09-13
2022-09-13 09:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L08,17889.0,720.0,2022-09-13
2022-09-13 10:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L21,1144.0,720.0,2022-09-13
2022-09-13 10:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L18,39451.0,720.0,2022-09-13
2022-09-13 10:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L08,21773.0,720.0,2022-09-13
2022-09-13 10:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L18,23921.0,720.0,2022-09-13
2022-09-13 10:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L08,3742.0,720.0,2022-09-13
2022-09-13 10:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L08,22812.0,720.0,2022-09-13
2022-09-13 10:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L21,8519.0,720.0,2022-09-13
2022-09-13 10:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L18,5925.0,720.0,2022-09-13
2022-09-13 10:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L21,28577.0,720.0,2022-09-13
2022-09-13 11:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L08,23959.0,720.0,2022-09-13
2022-09-13 11:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L21,29657.0,720.0,2022-09-13
2022-09-13 11:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L08,23051.0,720.0,2022-09-13
2022-09-13 11:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L21,8728.0,720.0,2022-09-13
2022-09-13 11:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L08,4341.0,720.0,2022-09-13
2022-09-13 11:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L18,5556.0,720.0,2022-09-13
2022-09-13 11:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L18,40755.0,720.0,2022-09-13
2022-09-13 11:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L21,1404.0,720.0,2022-09-13
2022-09-13 11:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L18,26302.0,720.0,2022-09-13
2022-09-13 12:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L18,6470.0,720.0,2022-09-13
2022-09-13 12:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L21,27665.0,720.0,2022-09-13
2022-09-13 12:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L08,4273.0,720.0,2022-09-13
2022-09-13 12:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L08,18281.0,720.0,2022-09-13
2022-09-13 12:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L08,22630.0,720.0,2022-09-13
2022-09-13 12:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L21,1832.0,720.0,2022-09-13
2022-09-13 12:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L18,42739.0,720.0,2022-09-13
2022-09-13 12:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L18,29676.0,720.0,2022-09-13
2022-09-13 12:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L21,9690.0,720.0,2022-09-13
2022-09-13 13:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L21,8529.0,720.0,2022-09-13
2022-09-13 13:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L21,1408.0,720.0,2022-09-13
2022-09-13 13:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L18,28313.0,720.0,2022-09-13
2022-09-13 13:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L08,24434.0,720.0,2022-09-13
2022-09-13 13:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L08,22544.0,720.0,2022-09-13
2022-09-13 13:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L18,42047.0,720.0,2022-09-13
2022-09-13 13:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L21,23855.0,720.0,2022-09-13
2022-09-13 13:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L08,3652.0,720.0,2022-09-13
2022-09-13 13:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L18,5679.0,720.0,2022-09-13
2022-09-13 14:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L08,3668.0,720.0,2022-09-13
2022-09-13 14:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L21,766.0,720.0,2022-09-13
2022-09-13 14:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L18,28651.0,720.0,2022-09-13
2022-09-13 14:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L21,30588.0,720.0,2022-09-13
2022-09-13 14:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L08,22797.0,720.0,2022-09-13
2022-09-13 14:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L08,21822.0,720.0,2022-09-13
2022-09-13 14:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L18,36245.0,720.0,2022-09-13
2022-09-13 14:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L18,5507.0,720.0,2022-09-13
2022-09-13 14:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L21,9585.0,720.0,2022-09-13
