pmm_datetime,enodeb_name,ltecell_name,pdcpvoldldrb,pdcpvoluldrb,pdcpvoldldrblasttti,day_part
2022-09-13 05:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L21,6616329.0,304940.0,4227889.0,2022-09-13
2022-09-13 05:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L08,614350.0,16777.0,8907.0,2022-09-13
2022-09-13 06:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L08,12895377.0,645197.0,1952829.0,2022-09-13
2022-09-13 06:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L18,1117347.0,377239.0,547320.0,2022-09-13
2022-09-13 06:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L18,0.0,0.0,0.0,2022-09-13
2022-09-13 06:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L08,16769.0,8267.0,5137.0,2022-09-13
2022-09-13 06:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L21,103762.0,22874.0,27175.0,2022-09-13
2022-09-13 06:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L18,21822378.0,1633915.0,8590472.0,2022-09-13
2022-09-13 06:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L21,4427440.0,134856.0,602640.0,2022-09-13
2022-09-13 06:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L08,3898392.0,850489.0,545292.0,2022-09-13
2022-09-13 06:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L21,3501826.0,502740.0,313062.0,2022-09-13
2022-09-13 07:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L18,2776618.0,94521.0,345668.0,2022-09-13
2022-09-13 07:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L18,25846975.0,1513901.0,11159699.0,2022-09-13
2022-09-13 07:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L08,9119080.0,1106001.0,1480664.0,2022-09-13
2022-09-13 07:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L21,1775314.0,153120.0,247026.0,2022-09-13
2022-09-13 07:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L18,9127280.0,635979.0,3753309.0,2022-09-13
2022-09-13 07:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L21,22840847.0,744533.0,6452214.0,2022-09-13
2022-09-13 07:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L08,6860012.0,480329.0,933304.0,2022-09-13
