,datetime,timestamp,ltecell_name,users_avg,prb_dl_usage_rate_avg,prb_ul_usage_rate_avg,hsr_intra_freq,hsr_inter_freq,cell_throughput_dl_avg,cell_throughput_ul_avg,user_throughput_dl_avg,user_throughput_ul_avg,traffic_volume_data,tp_carrier_aggr,carrier_aggr_usage,cqi_avg,time_advance_avg,daytime,cluster
5732,2023-02-28 12:00:00.000,2023-02-28 12:00:00,CEIRA_MCO001N1L08,35.12222222222222,33.00221722222222,6.232071111111111,98.91304347826086,90.2439024390244,12565.621447523929,874.5163684331334,12672.84910654048,924.4029267112068,2510.543625,17578.702385556062,56.94866761676124,8.131634225935086,2.0,1,0
5733,2023-02-28 13:00:00.000,2023-02-28 13:00:00,CEIRA_MCO001N1L08,34.8,29.504131666666662,7.156977777777778,96.2406015037594,75.0,15068.502453139448,1019.0201609778004,14965.29249594018,947.8954689758395,2762.6065,19963.324665420325,63.84964731053621,8.198988075457605,2.0,1,0
5734,2023-02-28 14:00:00.000,2023-02-28 14:00:00,CEIRA_MCO001N1L08,33.93888888888889,19.43037444444445,5.139133888888889,98.71794871794872,93.18181818181816,10150.957585618908,693.2994234088656,13595.1521171299,758.3541946891753,1381.851125,19703.17041491908,52.10620976424397,8.36807210827362,2.0,1,0
5735,2023-02-28 15:00:00.000,2023-02-28 15:00:00,CEIRA_MCO001N1L08,32.80416666666667,29.390295,5.687406666666667,95.1219512195122,96.96969696969695,25075.48663614171,785.9253186293502,28231.63042089995,989.4541406560382,4604.367125,29742.31206093336,89.54174879931514,7.95902489996505,2.0,1,0
5736,2023-02-28 16:00:00.000,2023-02-28 16:00:00,CEIRA_MCO001N1L08,28.418055555555554,15.371326666666668,3.67177,92.98245614035088,93.75,10456.207740603568,706.9158716282755,17233.080602635782,799.3907284348892,1244.68475,20723.97494653223,69.93081384604601,8.282902889818656,2.0,1,0
5737,2023-02-28 17:00:00.000,2023-02-28 17:00:00,CEIRA_MCO001N1L08,31.82777777777778,38.226618888888886,9.393696666666669,96.7391304347826,80.64516129032258,13032.893733660108,601.7478175580285,8863.53118432373,462.3681232227733,3087.631,13201.645938237994,39.81567968799105,8.106278216134694,2.0,1,0
5738,2023-02-28 18:00:00.000,2023-02-28 18:00:00,CEIRA_MCO001N1L08,34.37638888888889,70.26788166666667,15.200315,96.46464646464646,85.29411764705883,11626.764920811622,1350.1607201833813,5252.242217519975,843.2322835425583,4256.0645,9272.055625194183,17.510607633275647,8.187917119703613,2.0,1,0
5739,2023-02-28 19:00:00.000,2023-02-28 19:00:00,CEIRA_MCO001N1L08,34.18333333333333,77.5265111111111,10.636288888888888,96.20253164556962,89.74358974358975,13994.307836622198,1145.4290687603868,5432.860716243402,1352.708699158845,5311.02175,12756.91724211642,15.268946945548231,8.146776342098132,2.0,1,0
5740,2023-02-28 20:00:00.000,2023-02-28 20:00:00,CEIRA_MCO001N1L08,31.601388888888888,67.31876777777778,11.527895,98.44961240310076,94.44444444444444,12972.704925910186,1455.3852977959923,5972.139503067895,1636.971689226804,4437.655875,11829.168413649071,20.705644813380697,8.306984183172379,2.0,1,0
5741,2023-02-28 21:00:00.000,2023-02-28 21:00:00,CEIRA_MCO001N1L08,31.881944444444443,84.35954333333333,10.83095,96.66666666666669,85.71428571428571,12788.585664452195,1010.0991996442684,3925.1248743680526,1295.8684663885304,5180.182875,9756.757995576792,16.40095104271147,8.117387816259003,2.0,1,0
5742,2023-02-28 22:00:00.000,2023-02-28 22:00:00,CEIRA_MCO001N1L08,30.102777777777774,74.52274944444444,13.54678111111111,93.02325581395348,100.0,11313.635028997493,1303.2907148885436,4771.262449490243,1288.8724848420686,4305.893125,10275.794534102475,22.044977794593738,8.375174802006548,2.0,1,0
5743,2023-02-28 23:00:00.000,2023-02-28 23:00:00,CEIRA_MCO001N1L08,26.1,75.91856,8.633018333333334,95.65217391304348,93.75,11796.788128020034,801.0338196807529,4543.704347943239,875.2067273558491,4409.09675,8408.404899280751,32.56561423695064,7.956424847871443,2.0,1,0
5744,2023-03-01 00:00:00.000,2023-03-01 00:00:00,CEIRA_MCO001N1L08,23.375,65.69639166666667,9.981661666666668,100.0,100.0,14483.67561836795,808.516862429253,9366.775960544795,1174.5184441671806,5034.210625,13055.01157858356,59.95913653109501,8.409972020234829,2.0,0,0
5745,2023-03-01 01:00:00.000,2023-03-01 01:00:00,CEIRA_MCO001N1L08,20.7875,68.46934388888889,11.481103333333332,100.0,100.0,14207.058299898496,976.8584451314568,10214.92270630984,1478.302424034504,5546.062625,11846.188827326274,69.73339454681705,8.492000201887649,2.0,0,0
5746,2023-03-01 02:00:00.000,2023-03-01 02:00:00,CEIRA_MCO001N1L08,21.23472222222222,95.10876555555556,20.94773111111111,100.0,100.0,37728.87942775057,1230.7732554145612,19501.65162642911,1344.800770498664,16691.04875,26423.926972523448,48.02906077825554,8.814575243651944,2.0,0,0
5747,2023-03-01 03:00:00.000,2023-03-01 03:00:00,CEIRA_MCO001N1L08,19.506944444444443,96.64885777777778,22.771742777777774,100.0,100.0,45589.44888832903,1214.63902905985,24657.32166434099,1269.849090647468,20357.541,32078.209154518183,39.27314064721164,8.757160915419881,2.0,0,-1
5749,2023-03-01 05:00:00.000,2023-03-01 05:00:00,CEIRA_MCO001N1L08,18.85,66.39666611111112,18.08707055555556,100.0,100.0,38064.623611093375,1311.0938583676814,37066.31447110188,1363.4257715781846,12293.812375,38909.61094627846,95.08238436110148,8.760117457931342,2.0,0,-1
5750,2023-03-01 06:00:00.000,2023-03-01 06:00:00,CEIRA_MCO001N1L08,20.940277777777776,89.15053166666667,30.653719444444445,95.0,100.0,38338.31436664069,1609.998928942069,33577.65574393832,1513.1648066755604,16095.416375,36213.0190450243,92.0725442901198,8.900946094817519,2.0,0,-1
5751,2023-03-01 07:00:00.000,2023-03-01 07:00:00,CEIRA_MCO001N1L08,23.869444444444444,93.99147555555555,21.98874555555556,98.47328244274809,100.0,26591.05848812297,1007.5833135321922,20844.74226499125,881.4398412590141,11677.49325,23159.660534756786,88.44684669252743,8.216645127249533,2.0,0,0
5752,2023-03-01 08:00:00.000,2023-03-01 08:00:00,CEIRA_MCO001N1L08,28.041666666666668,75.80493,15.138913888888888,96.69811320754717,100.0,16821.84241826908,883.6396660910551,11311.93865908963,812.454569023472,6716.09325,14132.96369266195,74.13496646196747,8.214321470075193,2.0,1,0
5753,2023-03-01 09:00:00.000,2023-03-01 09:00:00,CEIRA_MCO001N1L08,27.177777777777777,72.078675,18.221274444444443,95.93023255813954,100.0,14442.473790289085,1059.0069466659577,9595.688437277457,891.2575393795554,5650.177375,12824.91702067403,78.6801953626497,8.032250421704587,2.0,1,0
5754,2023-03-01 10:00:00.000,2023-03-01 10:00:00,CEIRA_MCO001N1L08,26.625,53.89610055555556,7.003188333333333,94.30379746835445,100.0,10847.276065184376,962.0056403207384,7815.941882332726,1226.233082663539,3141.88775,13095.899096452918,40.11320652599215,8.28774326529289,2.0,1,0
5755,2023-03-01 11:00:00.000,2023-03-01 11:00:00,CEIRA_MCO001N1L08,30.230555555555554,47.46731333333334,5.211507777777777,94.017094017094,92.5,8887.25232706346,790.4586971686339,7564.701717118074,1204.8134220315633,2300.9985,21375.9037501672,31.132396387636,8.104316928228384,2.0,1,0
5756,2023-03-01 12:00:00.000,2023-03-01 12:00:00,CEIRA_MCO001N1L08,29.33194444444445,45.065738333333336,6.721873888888889,97.35099337748343,100.0,10152.52659100009,1272.1164060222436,7887.218045112781,2414.3353778860605,2560.944375,17469.826860744786,41.61747110767161,8.148525133626578,2.0,1,0
5757,2023-03-01 13:00:00.000,2023-03-01 13:00:00,CEIRA_MCO001N1L08,26.25138888888889,42.13235777777778,5.644695,97.10144927536231,97.14285714285714,9141.941294469234,673.0292337670961,7278.765019025885,805.1085218498876,2093.533125,9554.152024660636,54.13406202856843,7.865203841047826,2.0,1,0
5758,2023-03-01 14:00:00.000,2023-03-01 14:00:00,CEIRA_MCO001N1L08,28.133333333333333,33.70571944444445,4.112341111111111,95.45454545454544,100.0,11557.076383578433,762.6922075209452,10492.48258111481,1112.4380701099485,2225.404625,21171.224095241327,39.54818260213419,8.053933432143898,2.0,1,0
5759,2023-03-01 15:00:00.000,2023-03-01 15:00:00,CEIRA_MCO001N1L08,29.3625,32.489897222222226,5.87188,98.78048780487804,93.75,13164.830855303924,1045.1716542511806,13354.292811020112,1353.7644868257478,2647.788125,22169.171195447798,45.77567482222038,8.386982807669224,2.0,1,0
5760,2023-03-01 16:00:00.000,2023-03-01 16:00:00,CEIRA_MCO001N1L08,27.24305555555556,25.36848388888889,4.334775,95.76271186440678,100.0,12800.315562950504,853.1003689529042,15039.037844458053,1162.5409929929822,2156.960375,23513.462246024283,30.49078364230405,8.284952029214871,2.0,1,0
5761,2023-03-01 17:00:00.000,2023-03-01 17:00:00,CEIRA_MCO001N1L08,33.15972222222222,33.74186,8.106371666666666,99.38650306748468,100.0,10762.132159455316,850.8948100482421,9951.57285973687,814.8505775167687,2356.79125,17444.27367377293,37.486155269123934,8.30084743294796,2.0,1,0
5762,2023-03-01 18:00:00.000,2023-03-01 18:00:00,CEIRA_MCO001N1L08,37.09583333333333,72.34724833333334,10.632842777777778,94.9685534591195,100.0,12663.50665355559,978.7010607597524,6033.398588866966,1041.8582867780867,4677.9975,14153.399563617091,23.53088285795064,8.012339495696015,2.0,1,0
5763,2023-03-01 19:00:00.000,2023-03-01 19:00:00,CEIRA_MCO001N1L08,34.61527777777778,63.57403277777778,12.996675555555557,94.20289855072464,100.0,11355.24676232517,1088.928467847523,6878.866573808321,1001.7335248093976,3837.668875,13119.194275084985,24.781710668961548,7.917834611499439,2.0,1,0
5764,2023-03-01 20:00:00.000,2023-03-01 20:00:00,CEIRA_MCO001N1L08,32.36666666666667,75.65952277777778,20.783654444444444,95.55555555555556,100.0,13364.287591310624,2090.06305187653,4982.075503137746,2224.2102332272448,5034.80825,9408.730608203916,17.945257550526232,8.216805155129817,2.0,1,0
5765,2023-03-01 21:00:00.000,2023-03-01 21:00:00,CEIRA_MCO001N1L08,32.826388888888886,95.20606777777778,13.901013333333331,97.91666666666666,100.0,15830.516734736157,1170.591797762138,3260.2633019453588,1233.1558899029972,6991.9415,7112.59628921166,12.240955259744952,8.09812926149114,2.0,1,0
5766,2023-03-01 22:00:00.000,2023-03-01 22:00:00,CEIRA_MCO001N1L08,31.209722222222226,89.549155,10.834579444444444,98.33333333333331,100.0,11153.696661392816,844.3086043526481,3365.588898603274,1095.918605926303,4716.24025,9081.215072852609,13.196815004022506,7.889408020290952,2.0,1,0
5767,2023-03-01 23:00:00.000,2023-03-01 23:00:00,CEIRA_MCO001N1L08,27.834722222222226,57.69506666666667,7.198705,100.0,100.0,12307.93717129838,793.6290454069381,5472.21700645714,1191.2161809027718,3622.424375,23511.716949327463,18.883165333252364,8.137344590429763,2.0,1,0
5768,2023-03-02 00:00:00.000,2023-03-02 00:00:00,CEIRA_MCO001N1L08,24.051388888888887,39.91654277777778,4.451983333333334,100.0,100.0,17700.772683415857,945.293731951284,14228.05728688584,1573.747799387777,3584.2715,26577.503925375328,34.57811551934533,8.34290617930621,2.0,0,0
5769,2023-03-02 01:00:00.000,2023-03-02 01:00:00,CEIRA_MCO001N1L08,22.40277777777778,28.633515,3.744915,100.0,100.0,13991.931804426567,922.9861179668252,14505.382875126876,2402.136359660632,2254.03725,40789.44927362767,27.00413807315414,8.54278643030263,2.0,0,0
5770,2023-03-02 02:00:00.000,2023-03-02 02:00:00,CEIRA_MCO001N1L08,21.09722222222222,13.062624444444443,2.2138905555555555,100.0,100.0,9144.455189819677,484.9660182956577,12239.02402957486,647.5311627101272,581.525625,21216.126639781207,62.711389156949366,8.69598303062442,2.0,0,0
5771,2023-03-02 03:00:00.000,2023-03-02 03:00:00,CEIRA_MCO001N1L08,17.89027777777778,2.569703333333333,2.5712194444444445,100.0,100.0,8274.093734221615,880.5106861003386,25784.87419979157,1132.488215085097,231.470875,12522.785622593068,6.137804651084097,8.725449390322023,2.0,0,0
5772,2023-03-02 04:00:00.000,2023-03-02 04:00:00,CEIRA_MCO001N1L08,15.641666666666667,2.3839372222222224,4.404611666666667,100.0,100.0,4820.227466761623,631.5305271085449,10068.0919607556,629.0993554005431,140.44275,11607.273426977104,14.91133550139201,9.329655669965732,2.0,0,0
5773,2023-03-02 05:00:00.000,2023-03-02 05:00:00,CEIRA_MCO001N1L08,15.8,5.093261111111112,2.9935094444444443,100.0,100.0,5887.11471984644,611.825449533863,5940.216421970917,727.3831833032218,346.5715,8838.16170661048,2.299249509003552,10.135961838533945,2.0,0,0
5774,2023-03-02 06:00:00.000,2023-03-02 06:00:00,CEIRA_MCO001N1L08,18.929166666666667,20.90123388888889,7.591772777777778,100.0,100.0,14631.439752431404,1203.0070160612547,14708.213727698849,1817.989934797924,1804.93075,20335.841819568435,12.456039433563426,8.788132594483361,2.0,0,0
5775,2023-03-02 07:00:00.000,2023-03-02 07:00:00,CEIRA_MCO001N1L08,21.18888888888889,21.019737777777777,3.362013333333333,93.90243902439023,100.0,16487.762152743646,666.5563799064827,17521.063033887112,924.7664197741032,1991.863875,24412.539982722792,17.77215648798043,8.11469310649931,2.0,0,0
5776,2023-03-02 08:00:00.000,2023-03-02 08:00:00,CEIRA_MCO001N1L08,24.844444444444445,26.62632888888889,3.810483888888889,92.82051282051282,94.28571428571428,13532.096740878906,624.5977373827643,13441.600478660424,823.3579498806827,2161.9825,14728.185525709016,22.34215413688081,8.325566288567112,2.0,1,0
5777,2023-03-02 09:00:00.000,2023-03-02 09:00:00,CEIRA_MCO001N1L08,25.169444444444444,37.009771666666666,7.525108888888889,99.28057553956836,100.0,13049.79016986937,1564.0874092066786,11655.695094587798,2983.5328583718983,2708.8575,26772.602439186838,20.846808859277893,8.11474135571333,2.0,1,0
