,users_avg,prb_ul_usage_rate_avg,hsr_intra_freq,hsr_inter_freq,cell_throughput_dl_avg,user_throughput_ul_avg,tp_carrier_aggr,carrier_aggr_usage,cqi_avg,traffic_volume_data,user_throughput_dl_avg,cell_throughput_ul_avg,prb_dl_usage_rate_avg,daytime
5267,20.3875,29.94975056,100,100,39959.84892,954.508223,38912.2351,80.94260866,8.723569936,16555.15063,34930.78878,1038.891969,85.71457056,0
5268,19.31527778,24.48553222,100,100,38464.72497,930.404078,39101.29514,84.91773353,8.580330884,14197.72425,32527.61869,993.6433242,76.71195389,0
5269,19.24305556,16.98731833,100,100,34824.416,1070.713431,34463.31989,76.00320976,8.63076289,8656.3965,28194.18038,1152.33347,49.13057944,0
5364,20.925,1.552017778,100,33.33333333,9041.260379,819.2817272,28622.38833,61.68882218,8.887593294,240.38225,24964.07158,623.138977,1.995303333,0
5365,17.91527778,2.932027778,100,11.11111111,10324.11315,1434.441252,26275.41178,33.08740864,11.1337325,568.496,12564.04547,1473.799013,4.431359444,0
5387,15.28611111,1.035412222,100,75,24307.15022,592.8501545,32711.26856,90.81237636,9.069148033,804.958625,31799.25232,458.2280864,4.578167222,0
5412,19.95694444,3.890234444,100,60,17767.46728,3009.404234,36999.35007,70.65589231,8.740816181,640.064125,34332.80338,2209.86089,4.138295,0
5511,13.76111111,2.785274444,100,100,9452.170572,5182.251767,30779.16175,78.39479511,8.695304536,172.228,15988.43849,4225.050333,3.652256111,0
5531,17.58055556,3.603511667,100,66.66666667,26683.52556,2040.245192,32043.9289,94.56992021,8.59294686,3248.73925,30607.72337,1520.09677,22.43592056,0
5602,20.29861111,24.66288778,100,100,42286.78888,938.1066208,37165.6548,68.2617968,8.90934345,18564.07475,24969.70762,976.8160828,91.64448778,0
5603,21.10138889,24.08874944,100,100,45744.06805,1419.927007,44407.16303,79.76354881,9.170175855,16384.21575,34664.4787,1479.43934,74.33545222,0
5629,18.22222222,1.4964,100,18.75,10258.11007,1219.42677,14044.58805,16.25526699,11.06086571,515.78675,13350.42463,698.7076662,4.347602778,0
5746,21.23472222,20.94773111,100,100,37728.87943,1344.80077,26423.92697,48.02906078,8.814575244,16691.04875,19501.65163,1230.773255,95.10876556,0
5747,19.50694444,22.77174278,100,100,45589.44889,1269.849091,32078.20915,39.27314065,8.757160915,20357.541,24657.32166,1214.639029,96.64885778,0
5749,18.85,18.08707056,100,100,38064.62361,1363.425772,38909.61095,95.08238436,8.760117458,12293.81238,37066.31447,1311.093858,66.39666611,0
5912,21.5875,23.46075111,100,100,39584.41626,1466.363155,34646.52432,39.00789152,8.487418158,15888.393,23517.75311,1412.815018,84.71568,0
5913,19.39722222,26.42219667,100,100,42679.04097,1252.522052,39217.02362,60.75750416,8.727925138,16484.24075,32906.75181,1303.473544,81.11951611,0
5914,21.20972222,24.13518667,100,100,38699.48226,1347.94358,38628.85824,79.39908633,8.684491963,13428.16888,34964.60837,1415.601989,71.55542833,0
5915,21.25833333,16.62208444,100,100,38292.239,1298.604303,39719.20957,87.25901267,9.000450756,9152.386,36116.88962,1254.818605,49.03520778,0
mean,23.96996838,6.392306093,98.55402732,97.93920681,14462.97193,2057.000329,24057.25037,16.71476803,8.891685544,2691.767126,14910.75455,1290.515413,29.72618047,0
,,,,,,,,,,,,,,
2850,-4.755031616,-23.75013224,-1.445972684,-2.060793191,2153.979567,-4490.870812,1310.706452,3.118015116,1.171490025,-886.3492492,6469.318215,-6692.318998,-23.09057676,
2851,0.504690606,-17.89133446,-1.445972684,-2.060793191,3616.250856,-6130.518296,6922.235905,13.44804885,0.957391261,-1717.247374,8826.697976,-5655.026111,-56.34317231,
3098,-7.849476061,-36.73847891,-1.445972684,-2.060793191,3602.477907,-6264.994427,88.4949618,-1.928603094,0.835383478,-465.0757492,4027.873748,-7006.56617,-12.85003842,
3928,-11.07308717,-0.273628351,-1.445972684,-2.060793191,-23424.54402,-2099.51366,-1934.550204,-16.70480809,-0.149222093,341.5240008,-27345.52937,-1412.798246,10.6640738,
